昵称,月连接用户数(W),月深度用户数(W),星图id,内容垂类,粉丝量,60s以上视频报价,男性粉丝比例,24-30岁粉丝比例,31-40岁粉丝比例,41-50岁粉丝比例,50岁以上粉丝比例,星图指数,性价比指数,预期播放量,互动率,完播率,预期CPE,预期CPM,总分,等级
严北大秘书长,1886.1,825.6,6.97904E+18,汽车,203184,6600,0.95,0.43,0.28,0.03,0.02,82.19,60,655103,0.01,0.32,1.00747516,10.07,14.2,S级
约翰John,1742.4,368.6,6.95123E+18,汽车,207851,8000,0.57,0.15,0.23,0.1,0.14,73.57,69.75937145,86441,0.0745,0.1504,1.242264092,92.55,12.7,S级
车美美,1.5,0.9,7.03306E+18,汽车,201278,26000,0.97,0.27,0.59,0.09,0.01,59.02,67.587239,323918,0,,2.6E+13,80.27,6.7,B级
胡杨林,292.5,150.3,6.87017E+18,汽车,207856,60000,0.93,0.37,0.35,0.05,0.02,72.43,69.4864902,64217,0.009,0.1775,103.8146701,934.33,11.2,S级
集车,49.4,21.8,6.79732E+18,汽车,205008,200000,0.94,0.23,0.48,0.18,0.07,69.42,67.2499964,27208,0.0176,0.0274,417.6579081,7350.78,9.2,A级
松果爸的未来出行,353.5,85.8,6.86856E+18,汽车,201430,93300,0.78,0.25,0.51,0.12,0.06,77.3,67.10691005,9318,0.0282,0.0115,355.0666064,10012.88,10,S级
大宇桐搞笑,232.3,97.9,6.62966E+18,汽车,202871,0,0.64,0.25,0.45,0.13,0.09,68.08,46.01166728,39497,0.0031,0.246,0,,9.8,A级
机车百科-SC,318.7,80.6,6.98999E+18,汽车,202018,11100,0.93,0.31,0.26,0.06,0.02,77.27,60,40250,0.0239,0.0501,11.5387614,275.78,10.7,S级
有车有肉_肉肉,51.8,23.6,6.95012E+18,汽车,201187,35000,0.64,0.19,0.28,0.06,0.34,71.03,60,14929,0.1823,0.0339,12.86028691,2344.43,10.7,S级
酷车一族,175.5,82.7,7.05342E+18,汽车,202903,10300,0.9,0.14,0.49,0.23,0.1,68.05,60,71489,0.0116,0.1402,12.42052672,144.08,10,S级
保镖的车库,197.9,83.4,7.07826E+18,汽车,202993,50000,0.96,0.44,0.31,0.03,0.01,74.54,66.14247478,52752,0.0278,0.0219,34.0946533,947.83,10.4,S级
真会玩车的蛋哥,1531,836.5,7.03251E+18,汽车,207064,25600,0.88,0.23,0.46,0.15,0.09,78.67,60,21021,0.0071,0.0223,171.5253224,1217.83,8.6,A级
不懂车Rs,186.9,91.3,6.95468E+18,汽车,202096,12300,0.86,0.26,0.3,0.08,0.17,67.34,60,34242,0.0444,0.041,8.090270049,359.21,10,S级
光看车,7,5.9,7.23339E+18,汽车,208725,26300,0.48,0.02,0.06,0.13,0.79,60.02,0,620,0.3548,0.0154,119.5584973,42419.35,5.2,B级
UGR China 李政谕,98.3,49.7,6.8602E+18,汽车,207238,13000,0.98,0.42,0.35,0.04,0.01,69.07,68.9977048,39633,0.0142,0.0513,23.09925965,328.01,10,S级
